Player,Country,Price
Scottie Scheffler,USA,20.6
Rory McIlroy,NIR,11.7
Ludvig Åberg,SWE,11.5
Xander Schauffele,USA,11.2
Bryson DeChambeau,USA,10.4
Jon Rahm,ESP,10.4
Matt Fitzpatrick,ENG,8.6
Tommy Fleetwood,ENG,8.5
Collin Morikawa,USA,8.4
Cameron Young,USA,8.2
Justin Rose,ENG,8.1
Patrick Reed,USA,7.4
Jordan Spieth,USA,7.4
Viktor Hovland,NOR,7.3
Hideki Matsuyama,JPN,7.1
Brooks Koepka,USA,7.0
Shane Lowry,IRL,6.1
Justin Thomas,USA,6.0
Tyrrell Hatton,ENG,6.0
Chris Gotterup,USA,5.7
Jacob Bridgeman,USA,5.6
Robert MacIntyre,SCO,5.5
Akshay Bhatia,USA,5.5
Corey Conners,CAN,5.5
Min Woo Lee,AUS,5.5
Patrick Cantlay,USA,5.4
Cameron Smith,AUS,5.4
Si Woo Kim,KOR,5.4
Jason Day,AUS,5.3
Sungjae Im,KOR,5.3
Russell Henley,USA,5.2
Sepp Straka,AUT,5.2
Adam Scott,AUS,5.2
Sam Burns,USA,5.2
Harris English,USA,5.0
Ben Griffin,USA,4.9
J.J. Spaun,USA,4.8
Max Homa,USA,4.6
Maverick McNealy,USA,4.4
Marco Penge,ENG,4.2
Alex Noren,SWE,3.8
Ryan Fox,NZL,3.8
Ryan Gerard,USA,3.8
Wyndham Clark,USA,3.7
Rasmus Højgaard,DEN,3.6
Brian Harman,USA,3.4
Keegan Bradley,USA,3.4
Sergio García,ESP,3.3
Aaron Rai,ENG,3.2
Kurt Kitayama,USA,3.2
Casey Jarvis,RSA,3.0
Tom McKibbin,NIR,3.0
Dustin Johnson,USA,2.8
Harry Hall,ENG,2.6
John Keefer,USA,2.6
Rasmus Neergaard-Petersen,DEN,2.6
Nicolas Echavarria,COL,2.5
Samuel Stevens,USA,2.3
Tiger Woods,USA,2.3
Aldrich Potgieter,RSA,2.2
Andrew Novak,USA,2.2
Carlos Ortiz,MEX,2.2
Max Greyserman,USA,2.2
Michael Kim,USA,2.2
Nick Taylor,CAN,2.2
Sami Valimaki,FIN,2.2
Ángel Cabrera,ARG,2.0
Brandon Holtz,USA,2.0
Brian Campbell,USA,2.0
Bubba Watson,USA,2.0
Charl Schwartzel,RSA,2.0
Danny Willett,ENG,2.0
Davis Riley,USA,2.0
Ethan Fang,USA,2.0
Fifa Laopakdee,THA,2.0
Fred Couples,USA,2.0
Haotong Li,CHN,2.0
Jackson Herrington,USA,2.0
José María Olazábal,ESP,2.0
Kristoffer Reitan,NOR,2.0
Mason Howell,USA,2.0
Mateo Pulcini,ARG,2.0
Michael Brennan,USA,2.0
Mike Weir,CAN,2.0
Naoyuki Kataoka,JPN,2.0
Phil Mickelson,USA,2.0
Vijay Singh,FIJ,2.0
Zach Johnson,USA,2.0
