Player,Country,Price
Scottie Scheffler,USA,20.6
Rory McIlroy,NIR,11.7
Bryson DeChambeau,USA,10.4
Jon Rahm,ESP,10.4
Ludvig Åberg,SWE,10.2
Xander Schauffele,USA,9.5
Tommy Fleetwood,ENG,7.3
Matt Fitzpatrick,ENG,7.2
Collin Morikawa,USA,6.8
Cameron Young,USA,6.7
Justin Rose,ENG,6.6
Patrick Reed,USA,6.2
Hideki Matsuyama,JPN,6.1
Brooks Koepka,USA,6.1
Jordan Spieth,USA,6.0
Viktor Hovland,NOR,6.0
Justin Thomas,USA,5.3
Robert MacIntyre,SCO,5.3
Shane Lowry,IRL,5.0
Tyrrell Hatton,ENG,5.0
Min Woo Lee,AUS,4.8
Patrick Cantlay,USA,4.4
Chris Gotterup,USA,4.3
Russell Henley,USA,4.3
Sepp Straka,AUT,4.3
Akshay Bhatia,USA,4.2
Corey Conners,CAN,4.2
Jacob Bridgeman,USA,4.1
Si Woo Kim,KOR,4.1
Jason Day,AUS,4.1
Sungjae Im,KOR,4.1
Cameron Smith,AUS,4.0
Sam Burns,USA,4.0
Adam Scott,AUS,3.9
Ben Griffin,USA,3.9
Max Homa,USA,3.8
Harris English,USA,3.7
J.J. Spaun,USA,3.6
Marco Penge,ENG,3.5
Maverick McNealy,USA,3.2
Casey Jarvis,RSA,3.0
Alex Noren,SWE,2.9
Ryan Fox,NZL,2.9
Ryan Gerard,USA,2.9
Wyndham Clark,USA,2.8
Rasmus Højgaard,DEN,2.8
Brian Harman,USA,2.8
Keegan Bradley,USA,2.8
Sergio García,ESP,2.7
Aaron Rai,ENG,2.6
Kurt Kitayama,USA,2.6
Tom McKibbin,NIR,2.5
Dustin Johnson,USA,2.3
Rasmus Neergaard-Petersen,DEN,2.1
Harry Hall,ENG,2.1
John Keefer,USA,2.1
Nicolas Echavarria,COL,2.0
Samuel Stevens,USA,2.0
Tiger Woods,USA,2.0
Aldrich Potgieter,RSA,2.0
Andrew Novak,USA,2.0
Carlos Ortiz,MEX,2.0
Max Greyserman,USA,2.0
Michael Kim,USA,2.0
Nick Taylor,CAN,2.0
Sami Valimaki,FIN,2.0
Ángel Cabrera,ARG,2.0
Brandon Holtz,USA,2.0
Brian Campbell,USA,2.0
Bubba Watson,USA,2.0
Charl Schwartzel,RSA,2.0
Danny Willett,ENG,2.0
Davis Riley,USA,2.0
Ethan Fang,USA,2.0
Fifa Laopakdee,THA,2.0
Fred Couples,USA,2.0
Haotong Li,CHN,2.0
Jackson Herrington,USA,2.0
José María Olazábal,ESP,2.0
Kristoffer Reitan,NOR,2.0
Mason Howell,USA,2.0
Mateo Pulcini,ARG,2.0
Michael Brennan,USA,2.0
Mike Weir,CAN,2.0
Naoyuki Kataoka,JPN,2.0
Phil Mickelson,USA,2.0
Vijay Singh,FIJ,2.0
Zach Johnson,USA,2.0
